ActionAffinity/&DHFeeblemindSpellDescription	unable to cast spells
ActionAffinity/&DHFeeblemindSpellTitle	Feeble spellcasting
ArcaneFighterBonusWeaponDamage	Magically Powered Attacks
ArcaneFirearm Arcane Firearm Damage
AttributeModifier/&DHFeeblemindChaSpellDescription	Charisma score equals 1
AttributeModifier/&DHFeeblemindChaSpellTitle	Feeble Charisma
AttributeModifier/&DHFeeblemindIntSpellDescription	Intelligence score equals 1
AttributeModifier/&DHFeeblemindIntSpellTitle	Feeble intelligence
BlindingWeaponStrike Blinding Weapon
Caption/&GadgetParametersCustomRemoveDescription	Remove:\n{0}
Class/&TinkererDescription Tinkerers are inventors, alchemists, and more. They bridge the space between magic and technology
Class/&TinkererTitle Tinkerer
Class/&WitchArmorProficiencyDescription	Light Armor
Class/&WitchArmorProficiencyTitle	Witch Armor Proficiencies
Class/&WitchCacklePowerDescription	You can use your bonus action to cackle. The duration of your Malediction extends by 1 round for each creature affected within 60 feet of you.\nNot all witches laugh maniacally when they cackle, but all cackles require a verbal component, as a spell. These range from mundane curses and insults, to the murmuring of dead languages and speaking backwards.
Class/&WitchCacklePowerTitle	Cackle
Class/&WitchDescription	Afflicted by a sinister curse, witches can spin dark magic into Maledictions, which they use to debilitate foes. They are also accompanied by their familiars, loyal magical companions which they use to deal the killing blow.
Class/&WitchFamiliarPowerDescription	You learn the Witch Familiar spell, i.e. an improved Find Familiar spell, and can cast it as a ritual without material components. The spell doesn't count against your number of spells known. The spell improves Find Familiar in the following ways:\n• Your familiar takes its turn immediately before or after your turn each round (your choice).\n• Once per turn as an action or a bonus action, you can mentally command your familiar to use its reaction to make one attack.\n• When you cast a spell, you can deliver it through your familiar as if it had cast the spell, even if the spell doesn't have a range of touch.\n• Your familiar can use your spell attack bonus for its attack rolls.\n• Your familiar adds your proficiency bonus to its Armor Class, saving throws, and damage rolls.\n• You add twice your witch level to your familiar's maximum hit points.
Class/&WitchFamiliarPowerTitle	Familiar
Class/&WitchFeatureSetBurnedCurseDescription	Almost all of your body has been scorched by arcane flames, leaving you with striking black scars and embers of magic that burn under the skin. As a result, you have resistance to fire damage, and you know the cantrip Produce Flame, which does not count against your total number of cantrips known.
Class/&WitchFeatureSetBurnedCurseTitle	Burned
Class/&WitchFeatureSetLovelessCurseDescription	You are cursed to never find true love. Jaded and disaffected, not even magic can turn your heart; as a result, you are immune to being charmed.
Class/&WitchFeatureSetLovelessCurseTitle	Loveless
Class/&WitchFeatureSetMaledictionsDescription	You can learn a number of powerful incantations, known as Maledictions, derived from the same insidious magic which cursed you.
Class/&WitchFeatureSetMaledictionsTitle	Maledictions
Class/&WitchFeatureSetRitualCastingDescription	You can cast any witch spell you know as a ritual if that spell has the ritual tag.
Class/&WitchFeatureSetRitualCastingTitle	Witch Ritual Casting
Class/&WitchFeatureSetVisionsCurseDescription	You are cursed to have terrible visions of the future, presaging the death of your friends, family, and yourself. However many of these visions are cruel deceptions, they are sometimes grimly accurate. You can add your Charisma modifier, in addition to your Dexterity modifier, to your initiative rolls.
Class/&WitchFeatureSetVisionsCurseTitle	Visions
Class/&WitchFeatureSetWitchCurseDescription	You are wracked by a terrible curse which infects your body and soul.
Class/&WitchFeatureSetWitchCurseTitle	Witch Curse
Class/&WitchMaledictionAbateDescription	As an action, choose one creature you can see within 60 feet of you to make a Charisma saving throw. On a failed save, the creature can't take reactions until the end of your next turn.
Class/&WitchMaledictionAbateTitle	Abate Malediction
Class/&WitchMaledictionApathyDescription	As an action, choose one creature you can see within 60 feet of you to make a Charisma saving throw. On a failed save, until the end of your next turn, the creature becomes indifferent toward one creature of your choice that it is hostile towards. This indifference ends if the target is attacked or harmed by a spell by the creature to which it is indifferent.
Class/&WitchMaledictionApathyTitle	Apathy Malediction
Class/&WitchMaledictionCharmDescription	As an action, choose one creature you can see within 60 feet to make a Wisdom saving throw. On a failed save, the creature is charmed by you until the end of your next turn.
Class/&WitchMaledictionCharmTitle	Charm Malediction
Class/&WitchMaledictionDisorientDescription	As an action, choose one creature that you can see within 60 feet to make a Constitution saving throw. On a failed save, whenever this target makes an attack roll before the end of your next turn, it must roll a d6 and subtract the number rolled from the attack roll.
Class/&WitchMaledictionDisorientTitle	Disorient Malediction
Class/&WitchMaledictionEvilEyeDescription	As an action, choose one creature you can see that can see you within 60 feet to make a Wisdom saving throw. On a failed save, the creature is frightened of you until the end of your next turn.
Class/&WitchMaledictionEvilEyeTitle	Evil Eye Malediction
Class/&WitchMaledictionObfuscateDescription	As an action, you create a 20-foot radius sphere of fog centered on yourself. The sphere spreads around corners, and its area is heavily obscured. This effect lasts until the end of your next turn or until a wind of moderate or greater speed (at least 10 miles per hour) disperses it.
Class/&WitchMaledictionObfuscateTitle	Obfuscate Malediction
Class/&WitchMaledictionPoxDescription	As an action, choose one creature you can see within 5 feet to make a Constitution saving throw. On a failed save, the creature is poisoned until the end of your next turn.
Class/&WitchMaledictionPoxTitle	Pox Malediction
Class/&WitchMaledictionRuinDescription	As an action, choose one creature you can see within 60 feet to make a Constitution saving throw. On a failed save, the creature's Armor Class decreases by 3, to a minimum of 10, until the end of your next turn.
Class/&WitchMaledictionRuinTitle	Ruin Malediction
Class/&WitchSavingthrowProficiencyDescription	Wisdom, Charisma
Class/&WitchSavingthrowProficiencyTitle	Witch Saving Throw Proficiencies
Class/&WitchSkillProficiencyDescription	Choose two from Arcana, Deception, Insight, Intimidation, Persuasion, Nature, and Religion
Class/&WitchSkillProficiencyTitle	Witch Skills
Class/&WitchSpellcastingDescription	Can cast spells from the Witch spell list.
Class/&WitchSpellcastingTitle	Witch Spellcasting
Class/&WitchTitle	Witch
Class/&WitchToolProficiencyDescription	Choose one from Herbalist Kit and Poisoner's Kit
Class/&WitchToolProficiencyTitle	Witch Tool Proficiencies
Class/&WitchWeaponProficiencyDescription	Simple Weapons
Class/&WitchWeaponProficiencyTitle	Witch Weapon Proficiencies
Condition/&ConditionBarkWardDescription	Protected by the spirits of the forest.
Condition/&ConditionBarkWardTitle	Bark Ward
Condition/&ConditionDualFlurryApplyDescription	You are building momentum...
Condition/&ConditionDualFlurryApplyTitle	Dual Flurry!
Condition/&ConditionDualFlurryGrantDescription	Your foes are reeling!
Condition/&ConditionDualFlurryGrantTitle	Dual Flurry!
Condition/&ConditionImprovedBarkWardDescription	The spirits of the forest cause 2d8 piercing damage to melee attackers.
Condition/&ConditionImprovedBarkWardTitle	Improved Bark Ward
Condition/&ConditionMarkedByArcanistDescription	Afflicted by Arcanist's Mark.
